pattern,coverage,protection,input_size,hidden_size,output_size,weights_affected,biases_affected,injected_faults,detected_faults,corrected_faults,mse,correction_rate
ROW_COLUMN,10,disabled,8,16,4,192,20,21,21,0,nan,0.000000
ROW_COLUMN,10,enabled,8,16,4,192,20,21,21,236350,nan,1125476.190476
ROW_COLUMN,20,disabled,8,16,4,192,20,42,42,0,nan,0.000000
ROW_COLUMN,20,enabled,8,16,4,192,20,42,42,240150,nan,571785.714286
ROW_COLUMN,30,disabled,8,16,4,192,20,63,63,0,nan,0.000000
ROW_COLUMN,30,enabled,8,16,4,192,20,63,63,245450,nan,389603.174603
BURST_ERROR,1,disabled,8,16,4,192,20,2,2,0,nan,0.000000
BURST_ERROR,1,enabled,8,16,4,192,20,2,2,245450,nan,12272500.000000
BURST_ERROR,5,disabled,8,16,4,192,20,10,10,0,nan,0.000000
BURST_ERROR,5,enabled,8,16,4,192,20,10,10,247200,nan,2472000.000000
BURST_ERROR,10,disabled,8,16,4,192,20,21,21,0,nan,0.000000
BURST_ERROR,10,enabled,8,16,4,192,20,21,21,247250,nan,1177380.952381
BURST_ERROR,20,disabled,8,16,4,192,20,42,42,0,nan,0.000000
BURST_ERROR,20,enabled,8,16,4,192,20,42,42,248300,nan,591190.476190
BURST_ERROR,30,disabled,8,16,4,192,20,63,63,0,nan,0.000000
BURST_ERROR,30,enabled,8,16,4,192,20,63,63,248800,nan,394920.634921
