Mission,Protection,FineTuning,ErrorModel,ErrorRate,Accuracy,BaselineAccuracy,AccuracyPreservation,TotalBits,FlippedBits,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,CorrectionEffectiveness,MemoryOverhead,ExecutionTime
MEO,Moderate,None,AdjacentBits,5e-06,0,35,0,20100000,213,213,213,0,1,50,5.2694
MEO,Moderate,Basic,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,50,5.35635
MEO,Moderate,Standard,AdjacentBits,5e-06,0,35,0,20100000,154,154,154,0,1,50,5.30333
MEO,Moderate,Advanced,AdjacentBits,5e-06,0,35,0,20100000,325,325,167,158,0.513846,50,5.31062
MEO,High,None,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,100,5.23214
MEO,High,Basic,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,100,5.48242
MEO,High,Standard,AdjacentBits,5e-06,0,35,0,20100000,8,8,0,8,0,100,5.39191
MEO,High,Advanced,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,100,5.30323
MEO,Very High,None,AdjacentBits,5e-06,0,35,0,20100000,82,82,82,0,1,200,5.28483
MEO,Very High,Basic,AdjacentBits,5e-06,0,35,0,20100000,70,70,70,0,1,200,5.38159
MEO,Very High,Standard,AdjacentBits,5e-06,0,35,0,20100000,253,253,126,127,0.498024,200,5.51041
MEO,Very High,Advanced,AdjacentBits,5e-06,0,35,0,20100000,0,0,0,0,1,200,5.39382
MEO,Adaptive,None,AdjacentBits,5e-06,0,35,0,20100000,178,178,178,0,1,75,5.24051
MEO,Adaptive,Basic,AdjacentBits,5e-06,0,35,0,20100000,19,19,19,0,1,75,5.34283
MEO,Adaptive,Standard,AdjacentBits,5e-06,0,35,0,20100000,146,146,146,0,1,75,5.36287
MEO,Adaptive,Advanced,AdjacentBits,5e-06,0,35,0,20100000,95,95,95,0,1,75,5.40242
GEO,None,None,SingleBit,1e-05,0,35,0,20100000,239,0,0,0,1,0,8.68198
GEO,None,Basic,SingleBit,1e-05,0,35,0,20100000,71,0,0,0,1,0,5.62237
GEO,None,Standard,SingleBit,1e-05,0,35,0,20100000,0,0,0,0,1,0,5.62754
GEO,None,Advanced,SingleBit,1e-05,0,35,0,20100000,58,0,0,0,1,0,5.47374
GEO,Minimal,None,SingleBit,1e-05,0,35,0,20100000,566,566,566,0,1,10,5.34504
GEO,Minimal,Basic,SingleBit,1e-05,0,35,0,20100000,210,210,106,104,0.504762,10,5.32408
GEO,Minimal,Standard,SingleBit,1e-05,0,35,0,20100000,128,128,128,0,1,10,5.36646
GEO,Minimal,Advanced,SingleBit,1e-05,0,35,0,20100000,199,199,199,0,1,10,5.66401
GEO,Moderate,None,SingleBit,1e-05,0,35,0,20100000,333,333,147,186,0.441441,50,5.49293
GEO,Moderate,Basic,SingleBit,1e-05,0,35,0,20100000,137,137,137,0,1,50,5.39612
GEO,Moderate,Standard,SingleBit,1e-05,0,35,0,20100000,19,19,19,0,1,50,5.32824
GEO,Moderate,Advanced,SingleBit,1e-05,0,35,0,20100000,265,265,55,210,0.207547,50,5.31889
GEO,High,None,SingleBit,1e-05,0,35,0,20100000,295,295,295,0,1,100,5.30472
GEO,High,Basic,SingleBit,1e-05,0,35,0,20100000,6,6,0,6,0,100,5.38493
GEO,High,Standard,SingleBit,1e-05,0,35,0,20100000,0,0,0,0,1,100,5.34962
GEO,High,Advanced,SingleBit,1e-05,0,35,0,20100000,0,0,0,0,1,100,5.40575
GEO,Very High,None,SingleBit,1e-05,0,35,0,20100000,8,8,8,0,1,200,5.44713
GEO,Very High,Basic,SingleBit,1e-05,0,35,0,20100000,175,175,175,0,1,200,5.59959
GEO,Very High,Standard,SingleBit,1e-05,0,35,0,20100000,399,399,399,0,1,200,5.46977
GEO,Very High,Advanced,SingleBit,1e-05,0,35,0,20100000,353,353,170,183,0.481586,200,5.37158
GEO,Adaptive,None,SingleBit,1e-05,0,35,0,20100000,170,170,0,170,0,75,5.23667
GEO,Adaptive,Basic,SingleBit,1e-05,0,35,0,20100000,224,224,224,0,1,75,5.32651
GEO,Adaptive,Standard,SingleBit,1e-05,0,35,0,20100000,414,414,402,12,0.971014,75,5.30869
GEO,Adaptive,Advanced,SingleBit,1e-05,0,35,0,20100000,163,163,163,0,1,75,5.36653
Lunar,None,None,AdjacentBits,2e-05,0,35,0,20100000,391,0,0,0,1,0,5.31398
Lunar,None,Basic,AdjacentBits,2e-05,0,35,0,20100000,429,0,0,0,1,0,5.92202
Lunar,None,Standard,AdjacentBits,2e-05,0,35,0,20100000,423,0,0,0,1,0,5.3334
Lunar,None,Advanced,AdjacentBits,2e-05,0,35,0,20100000,605,0,0,0,1,0,5.4448
Lunar,Minimal,None,AdjacentBits,2e-05,0,35,0,20100000,896,896,526,370,0.587054,10,5.64749
Lunar,Minimal,Basic,AdjacentBits,2e-05,0,35,0,20100000,539,539,539,0,1,10,5.51441
Lunar,Minimal,Standard,AdjacentBits,2e-05,0,35,0,20100000,494,494,494,0,1,10,5.42679
Lunar,Minimal,Advanced,AdjacentBits,2e-05,0,35,0,20100000,382,382,382,0,1,10,5.34993
Lunar,Moderate,None,AdjacentBits,2e-05,0,35,0,20100000,286,286,118,168,0.412587,50,5.2821
Lunar,Moderate,Basic,AdjacentBits,2e-05,0,35,0,20100000,211,211,91,120,0.43128,50,5.3589
Lunar,Moderate,Standard,AdjacentBits,2e-05,0,35,0,20100000,178,178,154,24,0.865169,50,5.26316
Lunar,Moderate,Advanced,AdjacentBits,2e-05,0,35,0,20100000,114,114,114,0,1,50,5.34105
Lunar,High,None,AdjacentBits,2e-05,0,35,0,20100000,337,337,337,0,1,100,5.3366
Lunar,High,Basic,AdjacentBits,2e-05,0,35,0,20100000,291,291,0,291,0,100,5.26934
Lunar,High,Standard,AdjacentBits,2e-05,0,35,0,20100000,464,464,326,138,0.702586,100,5.25382
Lunar,High,Advanced,AdjacentBits,2e-05,0,35,0,20100000,299,299,189,110,0.632107,100,5.30112
Lunar,Very High,None,AdjacentBits,2e-05,0,35,0,20100000,422,422,422,0,1,200,5.69526
Lunar,Very High,Basic,AdjacentBits,2e-05,0,35,0,20100000,95,95,0,95,0,200,5.38788
Lunar,Very High,Standard,AdjacentBits,2e-05,0,35,0,20100000,432,432,432,0,1,200,7.51251
Lunar,Very High,Advanced,AdjacentBits,2e-05,0,35,0,20100000,616,616,361,255,0.586039,200,5.34089
Lunar,Adaptive,None,AdjacentBits,2e-05,0,35,0,20100000,122,122,122,0,1,75,40.6727
Lunar,Adaptive,Basic,AdjacentBits,2e-05,0,35,0,20100000,356,356,290,66,0.814607,75,5.4504
Lunar,Adaptive,Standard,AdjacentBits,2e-05,0,35,0,20100000,568,568,568,0,1,75,5.40344
Lunar,Adaptive,Advanced,AdjacentBits,2e-05,0,35,0,20100000,130,130,0,130,0,75,5.40833
Mars,None,None,RandomMulti,5e-05,0,35,0,20100000,951,0,0,0,1,0,5.2474
Mars,None,Basic,RandomMulti,5e-05,0,35,0,20100000,1076,0,0,0,1,0,5.43975
Mars,None,Standard,RandomMulti,5e-05,0,35,0,20100000,727,0,0,0,1,0,5.37821
Mars,None,Advanced,RandomMulti,5e-05,0,35,0,20100000,472,0,0,0,1,0,5.32192
Mars,Minimal,None,RandomMulti,5e-05,0,35,0,20100000,1344,1344,909,435,0.676339,10,5.43806
Mars,Minimal,Basic,RandomMulti,5e-05,0,35,0,20100000,1009,1009,751,258,0.744301,10,5.77005
Mars,Minimal,Standard,RandomMulti,5e-05,0,35,0,20100000,1091,1091,994,97,0.911091,10,5.40299
Mars,Minimal,Advanced,RandomMulti,5e-05,0,35,0,20100000,964,964,757,207,0.78527,10,6.08451
Mars,Moderate,None,RandomMulti,5e-05,0,35,0,20100000,765,765,611,154,0.798693,50,5.23807
Mars,Moderate,Basic,RandomMulti,5e-05,0,35,0,20100000,2023,2023,1872,151,0.925358,50,5.35239
Mars,Moderate,Standard,RandomMulti,5e-05,0,35,0,20100000,1419,1419,1022,397,0.720226,50,5.48106
Mars,Moderate,Advanced,RandomMulti,5e-05,0,35,0,20100000,620,620,491,129,0.791935,50,5.33558
Mars,High,None,RandomMulti,5e-05,0,35,0,20100000,1040,1040,493,547,0.474038,100,5.25251
Mars,High,Basic,RandomMulti,5e-05,0,35,0,20100000,903,903,385,518,0.426357,100,5.35002
Mars,High,Standard,RandomMulti,5e-05,0,35,0,20100000,1132,1132,1131,1,0.999117,100,5.46668
Mars,High,Advanced,RandomMulti,5e-05,0,35,0,20100000,926,926,731,195,0.789417,100,5.40115
Mars,Very High,None,RandomMulti,5e-05,0,35,0,20100000,912,912,772,140,0.846491,200,5.33669
Mars,Very High,Basic,RandomMulti,5e-05,0,35,0,20100000,948,948,840,108,0.886076,200,5.34355
Mars,Very High,Standard,RandomMulti,5e-05,0,35,0,20100000,1490,1490,1341,149,0.9,200,5.28414
Mars,Very High,Advanced,RandomMulti,5e-05,0,35,0,20100000,1396,1396,1141,255,0.817335,200,5.43404
Mars,Adaptive,None,RandomMulti,5e-05,0,35,0,20100000,1222,1222,1106,116,0.905074,75,5.50406
Mars,Adaptive,Basic,RandomMulti,5e-05,0,35,0,20100000,1079,1079,705,374,0.653383,75,5.5646
Mars,Adaptive,Standard,RandomMulti,5e-05,0,35,0,20100000,822,822,650,172,0.790754,75,5.29181
Mars,Adaptive,Advanced,RandomMulti,5e-05,0,35,0,20100000,791,791,646,145,0.816688,75,5.37602
Solar Probe,None,None,RandomMulti,0.0001,0,35,0,1275000,63,0,0,0,1,0,5.28459
Solar Probe,None,Basic,RandomMulti,0.0001,0,35,0,1275000,99,0,0,0,1,0,5.29141
Solar Probe,None,Standard,RandomMulti,0.0001,0,35,0,1275000,200,0,0,0,1,0,5.31929
