Architecture,Mission,Protection,FineTuningLevel,Epochs,LearningRate,DropoutRate,Accuracy,AccuracyUnderRadiation,AccuracyPreservation,MemoryOverhead,ExecutionTime
Tanh (32-8),Lunar,Moderate,3,500,0.006561,0,31.401,31.401,100,50,86.6491
Tanh (32-8),Lunar,Moderate,3,1000,0.00254187,0,31.401,31.401,100,50,173.882
Tanh (32-8),Lunar,Moderate,3,100,0.00254187,0.2,31.401,31.401,100,50,14.0612
Tanh (32-8),Lunar,Moderate,3,500,0.00166772,0.2,31.401,31.401,100,50,75.0965
Tanh (32-8),Lunar,Moderate,3,1000,0.000646108,0.2,31.401,31.401,100,50,145.687
Tanh (32-8),Lunar,Moderate,3,100,0.000646108,0.5,31.401,31.401,100,50,9.31805
Tanh (32-8),Lunar,Moderate,3,500,0.000423912,0.5,31.401,31.401,100,50,47.3148
Tanh (32-8),Lunar,Moderate,3,1000,0.000164232,0.5,31.401,31.401,100,50,105.595
Tanh (32-8),Lunar,Moderate,3,100,0.05,0,31.401,31.401,100,50,20.5721
Tanh (32-8),Lunar,Moderate,3,500,0.032805,0,31.401,31.401,100,50,92.7164
Tanh (32-8),Lunar,Moderate,3,1000,0.0127093,0,31.401,31.401,100,50,176.854
Tanh (32-8),Lunar,Moderate,3,100,0.0127093,0.2,31.401,31.401,100,50,14.531
Tanh (32-8),Lunar,Moderate,3,500,0.00833859,0.2,31.401,31.401,100,50,72.3451
Tanh (32-8),Lunar,Moderate,3,1000,0.00323054,0.2,31.401,31.401,100,50,143.181
Tanh (32-8),Lunar,Moderate,3,100,0.00323054,0.5,31.401,31.401,100,50,9.76516
Tanh (32-8),Lunar,Moderate,3,500,0.00211956,0.5,31.401,31.401,100,50,47.2504
Tanh (32-8),Lunar,Moderate,3,1000,0.00082116,0.5,31.401,31.401,100,50,90.5734
Tanh (32-8),Lunar,High,3,100,0.001,0,31.401,31.401,100,100,17.5202
Tanh (32-8),Lunar,High,3,500,0.0006561,0,31.401,31.401,100,100,91.7314
Tanh (32-8),Lunar,High,3,1000,0.000254187,0,31.401,31.401,100,100,192.38
Tanh (32-8),Lunar,High,3,100,0.000254187,0.2,31.401,31.401,100,100,14.0527
Tanh (32-8),Lunar,High,3,500,0.000166772,0.2,31.401,31.401,100,100,73.5319
Tanh (32-8),Lunar,High,3,1000,6.46108e-05,0.2,31.401,31.401,100,100,147.981
Tanh (32-8),Lunar,High,3,100,6.46108e-05,0.5,31.401,31.401,100,100,8.88279
Tanh (32-8),Lunar,High,3,500,4.23912e-05,0.5,31.401,31.401,100,100,44.5798
Tanh (32-8),Lunar,High,3,1000,1.64232e-05,0.5,31.401,31.401,100,100,88.2205
Tanh (32-8),Lunar,High,3,100,0.01,0,31.401,31.401,100,100,17.169
Tanh (32-8),Lunar,High,3,500,0.006561,0,31.401,31.401,100,100,86.4492
Tanh (32-8),Lunar,High,3,1000,0.00254187,0,31.401,31.401,100,100,171.224
Tanh (32-8),Lunar,High,3,100,0.00254187,0.2,31.401,31.401,100,100,13.4301
Tanh (32-8),Lunar,High,3,500,0.00166772,0.2,31.401,31.401,100,100,70.2063
Tanh (32-8),Lunar,High,3,1000,0.000646108,0.2,31.401,31.401,100,100,137.302
Tanh (32-8),Lunar,High,3,100,0.000646108,0.5,31.401,31.401,100,100,8.42839
Tanh (32-8),Lunar,High,3,500,0.000423912,0.5,31.401,31.401,100,100,44.2689
Tanh (32-8),Lunar,High,3,1000,0.000164232,0.5,31.401,31.401,100,100,86.9942
Tanh (32-8),Lunar,High,3,100,0.05,0,31.401,31.401,100,100,17.4994
Tanh (32-8),Lunar,High,3,500,0.032805,0,31.401,31.401,100,100,87.6447
Tanh (32-8),Lunar,High,3,1000,0.0127093,0,31.401,31.401,100,100,178.421
Tanh (32-8),Lunar,High,3,100,0.0127093,0.2,31.401,31.401,100,100,13.571
Tanh (32-8),Lunar,High,3,500,0.00833859,0.2,31.401,31.401,100,100,69.5098
Tanh (32-8),Lunar,High,3,1000,0.00323054,0.2,31.401,31.401,100,100,137.925
Tanh (32-8),Lunar,High,3,100,0.00323054,0.5,31.401,31.401,100,100,8.56195
Tanh (32-8),Lunar,High,3,500,0.00211956,0.5,31.401,31.401,100,100,44.976
Tanh (32-8),Lunar,High,3,1000,0.00082116,0.5,31.401,31.401,100,100,87.239
Tanh (32-8),Lunar,Very High,3,100,0.001,0,31.401,31.401,100,200,17.3268
Tanh (32-8),Lunar,Very High,3,500,0.0006561,0,31.401,31.401,100,200,87.2268
Tanh (32-8),Lunar,Very High,3,1000,0.000254187,0,31.401,31.401,100,200,170.975
Tanh (32-8),Lunar,Very High,3,100,0.000254187,0.2,31.401,31.401,100,200,13.442
Tanh (32-8),Lunar,Very High,3,500,0.000166772,0.2,31.401,31.401,100,200,73.2366
Tanh (32-8),Lunar,Very High,3,1000,6.46108e-05,0.2,31.401,31.401,100,200,136.964
Tanh (32-8),Lunar,Very High,3,100,6.46108e-05,0.5,31.401,31.401,100,200,8.49946
Tanh (32-8),Lunar,Very High,3,500,4.23912e-05,0.5,31.401,31.401,100,200,43.3988
Tanh (32-8),Lunar,Very High,3,1000,1.64232e-05,0.5,31.401,31.401,100,200,88.0322
Tanh (32-8),Lunar,Very High,3,100,0.01,0,31.401,31.401,100,200,16.9029
